PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
695,1,0,0,2,1.75,2.25,2.25,2.9,1.7,-1.26,3.5,2,-1.46,2.9,3,0.13,1.9,0,-1.91
411,1,0,0,3,3.5,2.75,3.25,6.1,5,-1.19,6.2,6,-0.73,6.3,6,-0.78,6,3.2,-2.82
538,0,0,0,2,2.75,2.5,1.5,2.9,3.5,0.57,3.5,4,0.54,2.9,3,0.13,1.9,1,-0.91
173,0,0,0,3,3.25,1.75,3.25,5.1,4.9,-0.19,5.4,4,-1.37,5,7,1.96,4.7,4.5,-0.2
903,0,1,1,2,2.75,1.75,2.75,4.1,2.5,-1.69,4.6,2,-2.56,4.1,4,-0.09,3.5,0,-3.48
378,0,0,0,2,3.25,2.5,1.75,3.5,2.9,-0.66,4,3,-0.99,3.5,3,-0.49,2.6,1.5,-1.14
995,0,0,0,2,3.25,1.75,3.25,4.7,5.6,0.95,5,3,-2.01,4.6,7,2.43,4.2,5,0.85
196,1,1,0,2,3.25,2.25,3.25,4.9,4,-0.98,5.3,3,-2.26,4.8,4,-0.85,4.5,3,-1.51
128,0,0,0,2,2.5,1.75,1.75,2.9,4.9,1.97,3.5,6,2.04,2.9,4,1.13,1.9,4.5,2.59
789,1,0,1,1,2.25,1.5,1.5,2.4,1.2,-1.22,2.9,2,-1.43,2.2,2,-0.2,1.3,0,-1.27
369,1,0,0,2,2.75,2.25,3.25,4.9,4.9,-0.08,5.3,6,0.24,4.8,7,2.15,4.5,1.3,-3.18
122,1,0,0,2,3.5,2.5,2.75,5.1,4.3,-0.84,5.4,4,-1.37,5,4,-1.04,4.7,2.3,-2.37
540,1,1,0,2,2.75,2.5,1.75,3.3,4.6,1.24,3.8,6,1.68,3.3,4,0.7,2.4,2.8,0.45
306,1,0,1,1,1.5,1.75,1.5,2.5,2.3,-0.22,3.1,2,-1.11,2.4,3,0.6,1.4,1,-0.45
639,0,0,0,3,3.25,2.75,3.5,5.8,4.1,-1.76,6,4,-1.97,5.9,4,-1.87,5.6,2.7,-2.92
716,0,0,0,3,3.5,2.75,3.25,6.1,4,-2.14,6.2,6,-0.73,6.3,4,-2.28,6,2,-3.98
240,0,0,0,1,2.5,1.5,1.5,2.7,2.6,-0.06,3.2,3,-0.23,2.6,3,0.42,1.6,1,-0.59
151,0,1,0,1,2.25,2.5,1.5,2.8,3,0.19,3.4,3,-0.37,2.8,3,0.24,1.8,1,-0.76
421,0,0,0,2,2.5,2.25,2.5,3.7,4.8,1.04,4.2,4,-0.16,3.7,6,1.82,2.9,4.5,1.59
935,1,0,0,1,2.25,1.75,1.5,2.7,2.7,-0.01,3.2,3,-0.23,2.6,3,0.42,1.6,1.5,-0.09
294,0,0,1,2,3.25,1.75,2.5,3.9,3.3,-0.62,4.3,2,-2.31,3.8,4,0.19,3.1,2.7,-0.45
580,1,0,0,2,3.25,2.5,2.5,4.4,5.1,0.65,4.8,4,-0.8,4.3,4,-0.3,3.8,4.5,0.67
522,0,1,0,2,2.75,2.5,2.5,4.1,3.4,-0.79,4.6,6,0.94,4.1,3,-1.09,3.5,0.5,-2.98
722,0,1,0,2,2.25,1.5,2.5,3.3,2.2,-1.11,3.8,3,-0.82,3.3,2,-1.3,2.4,0.3,-2.05
392,1,0,0,1,2.5,2.75,1.25,2.9,3.7,0.77,3.5,4,0.54,2.9,4,1.13,1.9,0,-1.91
940,1,0,1,2,1.75,2.25,2.25,3.1,3.2,0.06,3.6,3,-0.64,3.1,4,0.87,2.2,2.3,0.16
180,0,0,0,3,3.25,2.75,3.25,5.5,4.8,-0.71,5.7,4,-1.73,5.5,4,-1.52,5.2,3.7,-1.55
752,1,1,0,2,2.5,2.25,3.25,4.1,4.7,0.51,4.6,4,-0.56,4.1,7,2.91,3.5,3.2,-0.31
618,0,1,0,3,3.25,2.5,3.25,5.5,5,-0.56,5.7,6,-0.23,5.5,6,-0.02,5.2,3.7,-1.55
866,0,0,1,2,1.75,1.5,2.5,3.1,2,-1.14,3.6,3,-0.64,3.1,3,-0.13,2.2,0,-2.18
773,1,0,0,2,2.5,1.75,2.5,3.7,3.1,-0.66,4.2,4,-0.16,3.7,3,-0.68,2.9,1.3,-1.58
236,0,0,0,2,3.5,3.25,2.5,4.9,4,-0.98,5.3,4,-1.26,4.8,3,-1.85,4.5,2,-2.51
500,1,0,0,3,3.25,2.5,3.5,5.8,5.3,-0.56,6,4,-1.97,5.9,7,1.13,5.6,3.2,-2.42
997,0,0,0,2,2.5,2.5,2.5,3.9,4.2,0.28,4.3,6,1.19,3.8,4,0.19,3.1,2,-1.11
568,1,0,1,2,3.25,2.25,2.25,3.7,2.4,-1.31,4.2,3,-1.16,3.7,3,-0.68,2.9,0,-2.91
83,0,0,1,2,2.5,1.75,2.25,3.3,1.9,-1.41,3.8,2,-1.82,3.3,3,-0.3,2.4,0.7,-1.72
356,0,0,0,2,3.25,2.25,2.75,4.4,2.4,-2,4.8,2,-3.3,4.3,3,-1.3,3.8,1,-2.83
1037,0,0,0,2,2.5,2.25,1.75,3.1,3.2,0.01,3.6,3,-0.64,3.1,3,-0.13,2.2,1,-1.18
144,0,0,0,2,2.5,2.25,2.5,3.9,3.7,-0.17,4.3,4,-0.31,3.8,4,0.19,3.1,2,-1.11
765,0,0,0,2,3.25,1.75,3.25,4.7,5,0.35,5,6,0.49,4.6,6,0.93,4.2,3.3,-0.82
892,1,0,0,1,2.25,1.75,1.75,2.7,2.2,-0.46,3.2,3,-0.23,2.6,2,-0.58,1.6,0,-1.59
555,0,0,1,2,2.75,2.25,2.25,3.5,2.2,-1.36,4,2,-1.99,3.5,2,-1.49,2.6,0.7,-1.97
971,0,0,1,1,1.25,1.75,1.75,2.7,2.6,-0.11,3.2,3,-0.23,2.6,3,0.42,1.6,0,-1.59
96,1,0,0,2,3.25,2.5,2.5,4.4,4,-0.4,4.8,6,0.7,4.3,3,-1.3,3.8,2.7,-1.16
505,0,0,0,2,3.25,2.75,2.5,4.4,3.1,-1.35,4.8,3,-1.8,4.3,4,-0.3,3.8,1,-2.83
33,0,0,1,3,3.5,2.75,3.25,6.1,6.9,0.71,6.2,7,0.77,6.3,8,2.22,6,6,0.02
1014,0,0,0,2,3.25,2.75,2.5,4.7,3.8,-0.85,5,3,-2.01,4.6,3,-1.57,4.2,3.7,-0.49
1012,0,0,0,1,2.25,1.25,1.75,2.6,4.6,1.95,3.1,6,2.43,2.2,4,1.77,1.9,3.3,1.45
546,1,0,0,2,2.25,1.75,2.5,3.7,3.7,0.03,4,3,-1.03,3.5,3,-0.47,3.1,3.7,0.59
81,0,0,0,1,1.25,1.5,1.5,2.3,5.2,2.85,2.8,7,4.19,2,4,2.05,1.6,3,1.36
429,0,0,0,2,2.5,2.25,3.25,4.5,3.7,-0.82,4.8,1,-4.06,4.3,7,2.65,4.1,3.2,-0.91
400,1,0,0,2,2.5,2.25,2.25,3.3,2.3,-1.07,3.7,2,-1.7,3.1,3,-0.1,2.7,1.2,-1.49
610,0,0,0,2,2.5,2.25,2.5,4,3.1,-0.95,4.4,3,-1.37,3.9,4,0.12,3.5,2.3,-1.19
1008,0,1,0,2,3.25,3.25,2.75,5,5.5,0.43,5.3,7,1.73,4.9,4,-0.89,4.7,3.3,-1.34
1003,0,0,1,2,2.75,2.25,2.75,4.5,3.7,-0.82,4.8,6,0.69,4.3,3,-1.35,4.1,3.3,-0.74
17,0,0,0,2,2.75,2.5,3.25,5,4.4,-0.62,5.3,6,0.23,4.9,4,-0.89,4.7,3.3,-1.34
779,0,0,1,2,2.75,2.5,2.75,4.5,3.9,-0.67,4.8,6,0.69,4.3,3,-1.35,4.1,2.2,-1.91
449,0,1,0,1,1.5,1.25,1.25,2.1,2.9,0.71,2.6,3,0.41,1.7,4,2.33,1.4,2.2,0.73
442,0,0,0,3,3.75,3.5,3.5,6.8,7.2,0.3,6.8,8,1.65,7,7,-0.02,6.8,7,0.21
329,1,0,0,2,2.5,3.25,2.25,4,2.9,-1.17,4.4,7,2.63,3.9,2,-1.88,3.5,1,-2.52
580,0,0,0,3,3.25,3.5,3.25,5.9,5.8,-0.06,6,7,1.02,5.9,6,-0.4,5.7,5.5,-0.16
308,0,0,0,2,2.75,2.5,2.75,4.5,4.5,-0.07,4.8,6,0.69,4.3,4,-0.35,4.1,4,-0.07
817,0,0,0,3,3.5,3.25,3.25,6.2,3.8,-2.42,6.2,4,-2.22,6.3,3,-3.29,6,3.7,-2.34
